"STATION","NAME","DATE","AWND","DAPR","EVAP","MDPR","MNPN","MXPN","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WDMV","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-01",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-02",,,,,,,"0.01",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-03",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-04",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-05",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-06",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-07",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-08",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-09",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-10",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-11",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-12",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-13",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-14",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-15",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-16",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-17",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-18",,,,,,,"0.03",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-19",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-20",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-21",,,,,,,"0.02",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-22",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-23",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-24",,,,,,,"0.22",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-25",,,,,,,"0.93",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-26",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-27",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-28",,,,,,,"0.02",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-29",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-30",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-01-31",,,,,,,"0.28",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-02-01",,,,,,,"0.03",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-02-02",,,,,,,"0.60",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-02-03",,,,,,,"0.23",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-02-04",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-02-05",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-02-06",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-02-07",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-02-08",,,,,,,"2.29",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-02-09",,,,,,,"0.26",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-02-10",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-02-11",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-02-12",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-02-13",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-02-14",,,,,,,"0.66",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-02-15",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-02-16",,,,,,,"0.01",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-02-17",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
"USC00416437","NORTH RICHLAND HILLS, TX US","2023-02-18",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,
